csv_field,alias,type,category,traffic_light,chart,chart_details,,csv_field,alias,type,,,category,traffic_light,chart,chart_details
coordinates_latitude,Latitude,decimal,general,,,,,camp_name,Camp Name,string,,,general,,,
coordinates_longitude,Longitude,decimal,general,,,,,governorate,Governorate,string,,,general,,,
site_name,Unique ID,string,general,,,,,district,District,string,,,general,,,
governorate,Governorate,string,general,,,,,coordinates_latitude,Latitude,decimal,,,general,,,
site_typology,Type of site,string,general,,,,,coordinates_longitude,Longitude,decimal,,,general,,,
area,Area,string,general,,,,,site_ssid,Unique ID,string,,,general,,,
sub_site,Sub-site,string,general,,,,,site_active,Status,string,,,general,,,
camp_mngt,Camp management agency,string,management,nonered,,,,site_typology,Type of Site,string,,,general,,,
camp_mngmt_office,Camp management office available,string,management,yesgreen,,,,date,Date,,,,general,,,
camp_mngmt_male_staff,Number of camp management male staff,integer,management,,,,,shelter_types/tent,Tent,integer,,,shelter,,,
camp_mngmt_female_staff,Number of camp management female staff,integer,management,,,,,shelter_types/unfinished_building,Unfinished Building,integer,,,shelter,,,
camp_committee,Camp commitees established,list,management,nonered,,,,shelter_types/abandoned_building,Abandoned Building,integer,,,shelter,,,
population_tracking,Population tracking methodology,string,management,,,,,shelter_types/improvised_shelter,Improvised Shlter,integer,,,shelter,,,
plots/occupied_plots,Occupied plots,integer,shelter,,,,,shelter_types/prefab,Prefab,integer,,,shelter,,,
plots/not_occupied_plots,Not occupied plots,integer,shelter,,,,,shelter_types/school,School,integer,,,shelter,,,
extension/total_plots,Total plots,integer,shelter,,,,,shelter_types/religious,Religious,integer,,,shelter,,,
extension/extension_planned,Extension plots planned,integer,shelter,,,,,shelter_types/private,Private,integer,,,shelter,,,
shelter_types/tent_cement,Tent cemented base,integer,shelter,,shelter_type,,,shelter_types/public,Public,integer,,,shelter,,,
shelter_types/tent_ground,Tent on ground,integer,shelter,,shelter_type,,,shelter_types/military,Military,integer,,,shelter,,,
shelter_types/caravan,Caravan,integer,shelter,,shelter_type,,,shelter_types/open_air,Open Air,integer,,,shelter,,,
shelter_types/improvised_shelter,Improvised shelter,integer,shelter,,shelter_type,,,shelter_types/others,Others,integer,,,shelter,,,
shelter_types/single_fam_unit,Single family unit,integer,shelter,,shelter_type,,,other_shelter_type,Other Shelter Type,integer,,,shelter,,,
shelter_types/collective,Communal shelter,integer,shelter,,shelter_type,,,hh/total_families,hh/total_families,integer,,,,,,
shelter_types/rubhall,Rubhall,integer,shelter,,shelter_type,,,hh/total_families_confirm,hh/total_families_confirm,string,,,,,,
shelter_types/openair,Openair,integer,shelter,,shelter_type,,,background/date_first_occupied,Date of first occupied,,,,background,,,
shelter_types/overcrowded_family_plots,Overcrowded family shelters,string,shelter,,,,,background/district_aoo,District AOO,string,,,background,,,
total_hh/total_families,Total HH,integer,general,,,,,background/males_0_4,Males 0-4,integer,,,background,,,
ind_ages/ind_age_groups/males_60_over,Males: 60+,integer,demographics,,age_pyramid,m,,background/females_0_4,Females 0-4,integer,,,background,,,
ind_ages/ind_age_groups/females_60_over,Females: 60+,integer,demographics,,age_pyramid,f,,background/males_5_17,Males 5-17,integer,,,background,,,
ind_ages/ind_age_groups/males_18_59,Males: 18-59,integer,demographics,,age_pyramid,m,,background/females_5_17,Females 5-17,integer,,,background,,,
ind_ages/ind_age_groups/females_18_59,Females: 18-59,integer,demographics,,age_pyramid,f,,background/males_18_59,Males 18-59,integer,,,background,,,
ind_ages/ind_age_groups/males_5_17,Males: 5-17,integer,demographics,,age_pyramid,m,,background/females_18_59,Females 18-59,integer,,,background,,,
ind_ages/ind_age_groups/females_5_17,Females: 5-17,integer,demographics,,age_pyramid,f,,background/males_60_over,Males 60 Over,integer,,,background,,,
